,INFOBLOX_TABLE,ROUTING_TABLE,SELF_OVERLAP_A,SELF_OVERLAP_B,CROSS_OVERLAP_A_2_B,CROSS_OVERLAP_B_2_A
0,10.237.136.15/32,10.237.136.0/24,NO,NO,0.0,NO
1,10.80.105.0/24,138.55.132.248/30,NO,NO,NO,NO
